Compound;CNS positivity; MW (g/mol);Freely Rotable Bonds (ACD);PSA (ACD);HBD (ACD);HBA (ACD);logP (ACD);logD (pH7.4) (ACD);HPLC logP-HBA (ACD);HBA+HBD (ACD);logP-HBA (ACD);logD (pH 7.4)-HBA (ACD);HPLC logP(pH 7.4) ;IAM Km (linear);IAM Pm (linear);HSA;LogK;tPSA;logP;ClogP;pKa (prediction);3D PSA;CNS MPO score;BBB score;CNS MPO PET score
Losartan;efflux;422.91;8;93;2;7;3.57;1.61;-5.5;9;-3.43;-5.39;1.5;4.8;0.01;81.55;0.62;84.9;4.95;4.1;-1.56;123;4.03;2.79;2.4
Amprenavir;efflux;505.22;12;140;4;9;4.68;2.92;-6.31;13;-4.32;-6.08;2.69;39.78;0.08;70.07;0.36;131.2;2.5;3.29;2.39;179;2.79;2.74;1
Carbidopa;negative;226.22;4;116;6;6;-0.19;-2.58;-6.69;12;-6.19;-8.58;-0.69;95.42;0.16;25.74;-0.47;115.81;0.37;-0.44;-1.52;235.3;3.89;2.65;4
Hydrochlorothiazide;negative;297.74;1;135;4;7;-0.07;-0.01;-6.39;11;-7.07;-7.01;0.61;8.65;0.03;47.52;-0.05;118.36;-0.04;-0.36;9.09;267.9;4.05;2.64;3.2
SNAP7941;efflux;613.65;11;129;3;11;2.47;1.88;;14;-8.53;-9.12;;;;;;129.3;1.14;4.92;14.25;180;2.93;2.61;1.9
Glimepiride;negative;490.62;9;140;3;9;4.14;1.55;-6.84;12;-4.86;-7.45;2.16;17.24;0.04;88.08;0.83;124.68;2.59;3.96;0.73;175.7;3.14;2.58;2
Linagliptin;negative;472.54;5;113;2;10;1.99;-0.16;-8.46;12;-8.01;-10.16;1.54;41.51;0.09;70.73;0.37;110.2;3.5;1.91;9.86;122.5;2.98;2.51;2
18FSNAP;efflux;613.65;11;129;3;11;2.47;1.88;-7.37;14;-8.53;-9.12;3.63;;;;;129.3;2.45;4.92;0.41;172;2.93;2.48;2.9
Bisantrene;efflux;402.23;6;98;4;8;1.69;-0.64;-4.9;12;-6.31;-8.64;3.1;1017.12;2.53;100;2;96.22;1.21;3.4;6.62;158;4.32;2.46;3
Dexrazoxane;negative;268.26;3;99;2;8;-0.37;-0.83;;10;-8.37;-8.83;;;;;;98.81;-3.17;-1.33;11.2;215.8;5.21;2.46;3
Fudinsäure;negative;516.71;6;104;3;6;6.41;2.75;-2.91;9;0.41;-3.25;3.09;41.52;0.08;84.85;0.72;104.06;4.68;7.28;4.66;148.1;3.07;2.44;1.1
Elacridar;efflux;563.64;8;89;2;8;5.55;5.39;-3.14;10;-2.45;-2.61;4.86;1253.71;2.22;92.02;1.01;89.1;5.03;4.21;8.36;124;2.32;2.32;0.5
Itraconazole;negative;705.63;11;101;0;12;4.35;4.96;-7.49;12;-7.65;-7.04;4.51;293.36;0.42;89.44;0.89;98.04;7.13;5.99;3.91;93.1;2.64;2.16;2
Mitoxantrone;efflux;444.4;12;163;8;10;0.45;-1.19;;18;-9.55;-11.19;;;;;;163.2;-1.16;2.29;15.9;263;2.8;2.15;2
Lopinavir;efflux;628.8;15;120;4;9;6.26;5.24;-5.34;13;-2.74;-3.76;3.66;163.6;0.26;85.88;0.75;120;4.56;6.09;15.42;128;1.16;2.15;0
Entacapone;negative;305.1;6;130;2;8;2.38;-0.04;-7.27;10;-5.62;-8.04;0.73;8.06;0.03;92.33;1.04;130.38;1.49;1.76;1.2;234.6;4.5;2.11;4
Indinavir;efflux;613.79;12;118;4;9;4.04;1.75;-6.33;13;-4.96;-7.25;2.67;31.08;0.05;55.14;0.08;117.5;2.49;3.68;15.35;104;2.72;2.06;1
Triamcinolone;efflux;394.43;2;115;4;6;0.83;0.92;-4.97;10;-5.17;-5.08;1.03;10.18;0.03;38.86;-0.2;115.1;-0.63;-0.35;14;202;3.92;2.05;2
Glibenclamide;negative;494;9;129;3;8;5.19;2.25;-5.83;11;-2.81;-5.75;2.17;25.29;0.05;88.96;0.87;120.58;5.57;4.58;0.28;166;2.29;2.04;1.5
Daunorubicin;efflux;527.52;4;186;6;11;2.92;-0.29;-7.66;17;-8.08;-11.29;3.34;176.73;0.34;87.7;0.82;185.8;-0.64;0.84;9.64;238;2.51;1.89;1.9
Atorvastatin;efflux;558.64;12;112;4;7;4.93;0.88;-4.62;11;-2.07;-6.12;2.38;19.75;0.04;82.37;0.65;111.79;5.05;4.46;4.31;183;2.06;1.82;2
Vincristine;efflux;824.96;10;171;3;14;2.82;2.6;-11.27;17;-11.18;-11.4;2.73;98.84;0.12;66.69;0.29;171.18;;4.04;10.85;125.7;2.97;1.8;1.2
Vinblastine;efflux;810.97;10;154;3;13;4.18;3.68;-9.9;16;-8.82;-9.32;3.1;163.95;0.2;75.24;0.47;154.11;;5.23;10.88;156;2.05;1.77;0
Etoposide;efflux;588.56;5;161;3;13;0.3;0.66;-11.43;16;-12.7;-12.34;1.57;9.72;0.02;64.3;0.24;160.8;1.12;0.03;12.28;269;3.25;1.74;2
Doxorubicin;efflux;543.52;5;206;7;12;2.82;-0.79;-8.88;19;-9.18;-12.79;3.12;114.08;0.21;86.91;0.8;206.1;-1.34;0.32;8.97;287;2;1.72;2.2
Epirubicin;efflux;543.52;5;206;7;12;2.82;-0.79;-8.39;19;-9.18;-12.79;3.61;143.84;0.26;88.13;0.84;206.1;-1.34;0.32;9.64;260;2;1.72;2
